zh_Food_name,GHG,en_Food_name,Energy/kcal,Protein /g,Fat/g,Carbohydrates /g,Sodium/mg,price/rmb,url,,,,,,,,,,
西葫芦,0.8,courgette/Zucchini,16,1.2,0.3,3.1,8,3.2,https://cdn.pixabay.com/photo/2021/11/19/08/21/zucchini-6808371_1280.jpg,,,,,,,,,,
薏米,0.8,Barley,357,8.72,2.45,77.4,20,16.5,https://www.themediterraneandish.com/wp-content/uploads/2022/03/how-to-cook-barley-6.jpg,,,,,,,,,,
油菜,0.9,rapeseed,25,1.8,0.5,3.8,65,4,https://cdn.pixabay.com/photo/2020/04/27/06/37/oilseed-rape-5098369_1280.jpg,,,,,,,,,,
玉米,1,corn,72,2.79,1.63,14.7,2.5,3,https://cdn.pixabay.com/photo/2023/05/30/14/49/corn-8028831_1280.jpg,,,,,,,,,,
芸豆,1,Kidney beans,332,24,0.8,60,24,5.58,https://cdn.pixabay.com/photo/2022/12/17/19/11/kidney-beans-7662225_1280.jpg,,,,,,,,,,
高粱,0.8,sorghum,341,10.1,4.22,73.6,0,6.5,https://cdn.pixabay.com/photo/2014/02/26/13/20/sorghum-275258_1280.jpg,,,,,,,,,,
大麦,1.18,barley,357,8.72,2.45,77.4,20,3.2,https://cdn.pixabay.com/photo/2017/01/28/11/53/spike-2015211_1280.jpg,,,,,,,,,,
小米,0.8,millet,381,10,1.19,74.4,2.5,7.2,https://cdn.pixabay.com/photo/2020/04/27/07/26/millet-5098547_1280.jpg,,,,,,,,,,
小麦,1,wheat,370,12,1.7,74.6,2,3.36,https://cdn.pixabay.com/photo/2023/07/30/07/23/soft-wheat-8158264_1280.jpg,,,,,,,,,,
扁豆,0.7,lentil,351,23.6,1.92,62.2,2.5,4.8,https://cdn.pixabay.com/photo/2015/12/02/10/19/runner-beans-1073214_1280.jpg,,,,,,,,,,
豌豆,0.6,pea,341,21.2,2.42,61.8,3,9.9,https://cdn.pixabay.com/photo/2016/02/17/19/14/peas-1205673_1280.jpg,,,,,,,,,,
豆角,0.5,Beans,30,1.8,0.7,7,6,7.61,https://cdn.pixabay.com/photo/2020/06/28/01/33/healthy-5347549_1280.jpg,,,,,,,,,,
鸭肉,4.7,Duck meat,337,19,28,0,59,13,https://cdn.pixabay.com/photo/2021/11/26/14/54/peking-duck-6826022_1280.jpg,,,,,,,,,,
菜花,0.76,cauliflower,23,1.64,0.24,4.72,20,3.63,https://cdn.pixabay.com/photo/2017/02/25/13/27/vegetables-2097762_1280.jpg,,,,,,,,,,
卷心菜,0.36,cabbage,28,0.96,0.23,6.39,16,1.4,https://cdn.pixabay.com/photo/2018/10/03/22/08/kohl-3722517_1280.jpg,,,,,,,,,,
茴香,0.5,Fennel,31,1.2,0.2,7,52,4.14,https://cdn.pixabay.com/photo/2016/04/06/12/39/fennel-1311691_1280.jpg,,,,,,,,,,
莴苣,1,Romaine lettuce,17,0.98,0.07,1.06,23,2.6,https://cdn.pixabay.com/photo/2018/06/29/07/26/salad-3505392_1280.jpg,,,,,,,,,,
苋菜,0.5,Amaranth,25,2.8,0.3,5,32.4,5,https://cdn.pixabay.com/photo/2023/06/03/14/29/amaranthus-tricolor-8037812_1280.jpg,,,,,,,,,,
橄榄,1.2,Olive,130,1.15,12.9,4.69,1620,25,https://cdn.pixabay.com/photo/2021/11/07/21/27/olive-6777954_1280.jpg,,,,,,,,,,
黑豆,0.7,black beans,177,21,0.9,62,2,7.8,https://cdn.pixabay.com/photo/2021/11/15/05/50/coffee-6796427_1280.jpg,,,,,,,,,,
